Vorname;Nachname;E-Mail;Geburtsdatum;Geschlecht
Colin;Hansen;colin.hansen@mail.com;14.08.2005;M
Marta;Zimmer;marta.zimmer@mail.com;26.01.2008;W
Lena;Maier;lena.maier@mail.com;02.04.2009;W
Fayola;Gustav;fayola.gustav@mail.com;07.09.2009;W
Emma;Richter;emma.richter@mail.com;05.08.2008;W
Anna;Krause;anna.krause@mail.com;11.07.2008;W
Nelson;Erikson;nelson.erikson@mail.com;14.03.2014;M
Thea;Gomez;thea.gomez@mail.com;21.06.2012;W
Mya;Green;mya.green@mail.com;21.08.2014;W
Marlene;Peters;marlene.peters@mail.com;21.04.2014;W
Charlize;Rodriguez;charlize.rodriguez@mail.com;11.10.2013;W
Julia;Ramos;julia.ramos@mail.com;03.03.2010;W
Amelie;Morgan;amelie.morgan@mail.com;19.01.2010;W
Carla;Ritter;carla.ritter@mail.com;14.01.2010;M
Matheo;Vogel;matheo.vogel@mail.com;26.04.2008;M
Sonja;Söder;sonja.söder@mail.com;18.02.2010;M
Elizabeth;Larsen;elizabeth.larsen@mail.com;13.01.2008;W
Lotte;Fischer;lotte.fischer@mail.com;13.10.2012;W
Enrik;Dobre;enrik.dobre@mail.com;22.08.2009;M
Isabell;Knopf;isabell.knopf@mail.com;22.05.2009;W
Mathilda;Heller;mathilda.heller@mail.com;26.04.2011;W
Sofia;Aigner;sofia.aigner@mail.com;27.06.2014;W
